name;number;set;warehouse_code;price;image;variant;sold;added_at
Energy Search Pro;176;Surging Sparks;K100R1P0175;9.58;https://sklep839679.shoparena.pl/upload/images/2/img1523.jpg;common;;2025-09-04
Precious Trolley;185;Surging Sparks;K100R1P0176;13.35;https://sklep839679.shoparena.pl/upload/images/2/img1524.jpg;common;;2025-09-04
Miracle Headset;183;Surging Sparks;K100R1P0177;3.66;https://sklep839679.shoparena.pl/upload/images/2/img1525.jpg;common;;2025-09-04
Alolan Exeggutor ex;133;Surging Sparks;K100R1P0178;4.09;https://sklep839679.shoparena.pl/upload/images/2/img1526.jpg;common;;2025-09-04
Black Kyurem ex;48;Surging Sparks;K100R1P0179;3.62;https://sklep839679.shoparena.pl/upload/images/2/img1527.jpg;common;;2025-09-04
Scovillain ex;37;Surging Sparks;K100R1P0183;2.88;https://sklep839679.shoparena.pl/upload/images/2/img1528.jpg;common;;2025-09-04
Slaking ex;147;Surging Sparks;K100R1P0184;3.14;https://sklep839679.shoparena.pl/upload/images/2/img1529.jpg;common;;2025-09-04
Scramble Switch;186;Surging Sparks;K100R1P0185;3.66;https://sklep839679.shoparena.pl/upload/images/2/img1530.jpg;common;;2025-09-04
Megaton Blower;182;Surging Sparks;K100R1P0186;3.19;https://sklep839679.shoparena.pl/upload/images/2/img1531.jpg;common;;2025-09-04
Scramble Switch;186;Surging Sparks;K100R1P0187;3.66;https://sklep839679.shoparena.pl/upload/images/2/img1532.jpg;common;;2025-09-04
Miracle Headset;183;Surging Sparks;K100R1P0188;3.66;https://sklep839679.shoparena.pl/upload/images/2/img1533.jpg;common;;2025-09-04
Brilliant Blender;164;Surging Sparks;K100R1P0189;7.96;https://sklep839679.shoparena.pl/upload/images/2/img1534.jpg;common;;2025-09-04
Scramble Switch;186;Surging Sparks;K100R1P0190;3.66;https://sklep839679.shoparena.pl/upload/images/2/img1535.jpg;common;;2025-09-04
Amulet of Hope;162;Surging Sparks;K100R1P0191;3.25;https://sklep839679.shoparena.pl/upload/images/2/img1536.jpg;common;;2025-09-04
Black Kyurem;48;Surging Sparks;K100R1P0192;3.62;https://sklep839679.shoparena.pl/upload/images/2/img1537.jpg;common;1;2025-09-04
Ceruledge ex;36;Surging Sparks;K100R1P0193;8.27;https://sklep839679.shoparena.pl/upload/images/2/img1538.jpg;common;;2025-09-04
Durant ex;4;Surging Sparks;K100R1P0194;3.15;https://sklep839679.shoparena.pl/upload/images/2/img1539.jpg;common;;2025-09-04
Tatsugiri ex;142;Surging Sparks;K100R1P0195;3.15;https://sklep839679.shoparena.pl/upload/images/2/img1540.jpg;common;;2025-09-04
Latias ex;76;Surging Sparks;K100R1P0196;32.45;https://sklep839679.shoparena.pl/upload/images/2/img1541.jpg;common;;2025-09-04
Palafin;124;Paldean Fates;K100R1P0197;12.88;https://sklep839679.shoparena.pl/upload/images/2/img1542.jpg;common;;2025-09-04
Weavile;183;Paldean Fates;K100R1P0198;15.39;https://sklep839679.shoparena.pl/upload/images/2/img1543.jpg;common;;2025-09-04
Sandy Shocks ex;228;Paradox Rift;K100R1P0199;11.88;https://sklep839679.shoparena.pl/upload/images/2/img1544.jpg;common;;2025-09-04
Haxorus;111;BREAKthrough;K100R1P0200;18.32;https://sklep839679.shoparena.pl/upload/images/2/img1545.jpg;holo;;2025-09-04
Thievul;82;Shining Fates;K100R1P0201;10.99;https://sklep839679.shoparena.pl/upload/images/2/img1546.jpg;common;;2025-09-04
Rotom V;58;Lost Origin;K100R1P0202;3.66;https://sklep839679.shoparena.pl/upload/images/2/img1559.jpg;common;;2025-09-04
Infernape V;252;SWSH Black Star Promos;K100R1P0203;6.28;https://sklep839679.shoparena.pl/upload/images/2/img1560.jpg;common;;2025-09-04
Drapion V;118;Lost Origin;K100R1P0190;2.93;https://sklep839679.shoparena.pl/upload/images/2/img1561.jpg;common;;2025-09-04
Zamazenta VSTAR;99;Crown Zenith;K100R1P0191;10.99;https://sklep839679.shoparena.pl/upload/images/2/img1562.jpg;common;;2025-09-04
Atticus;134;Prismatic Evolutions;K100R1P0192;4.71;https://sklep839679.shoparena.pl/upload/images/2/img1563.jpg;common;1;2025-09-04
Deluxe Bomb;134;Stellar Crown;K100R1P0193;1.73;https://sklep839679.shoparena.pl/upload/images/2/img1564.jpg;common;;2025-09-04
Scramble Switch;186;Surging Sparks;K100R1P0194;3.66;https://sklep839679.shoparena.pl/upload/images/2/img1565.jpg;common;;2025-09-04
Maschiff;71;SVP Black Star Promos;K100R1P0195;2.15;https://sklep839679.shoparena.pl/upload/images/2/img1566.jpg;common;;2025-09-04
Origin Forme Dialga V;113;Astral Radiance;K100R1P0200;7.28;https://sklep839679.shoparena.pl/upload/images/2/img1567.jpg;common;;2025-09-05
Winona;96;Roaring Skies;K100R1P0201;6.30;https://sklep839679.shoparena.pl/upload/images/2/img1568.jpg;reverse;;2025-09-05
Shrine of Memories;139;Primal Clash;K100R1P0202;7.14;https://sklep839679.shoparena.pl/upload/images/2/img1569.jpg;reverse;;2025-09-05
Glalie Spirit Link;139;BREAKthrough;K100R1P0203;2.94;https://sklep839679.shoparena.pl/upload/images/2/img1570.jpg;reverse;;2025-09-05
Dodrio;117;BREAKthrough;K100R1P0204;10.47;https://sklep839679.shoparena.pl/upload/images/2/img1571.jpg;reverse;;2025-09-05
Luxray;23;SWSH Black Star Promos;K100R1P0205;99.45;https://sklep839679.shoparena.pl/upload/images/2/img1572.jpg;holo;;2025-09-05
Flapple;22;SWSH Black Star Promos;K100R1P0206;52.34;https://sklep839679.shoparena.pl/upload/images/2/img1573.jpg;holo;;2025-09-05
Decidueye;13;SWSH Black Star Promos;K100R1P0207;52.34;https://sklep839679.shoparena.pl/upload/images/2/img1574.jpg;common;;2025-09-05
Mimikyu ex;69;Journey Together;K100R1P0208;4.20;https://sklep839679.shoparena.pl/upload/images/2/img1575.jpg;common;;2025-09-05
Amoonguss ex;11;Journey Together;K100R1P0209;2.72;https://sklep839679.shoparena.pl/upload/images/2/img1576.jpg;common;;2025-09-05
Incineroar ex;34;Temporal Forces;K100R1P0210;4.13;https://sklep839679.shoparena.pl/upload/images/2/img1577.jpg;common;;2025-09-05
Xerneas-EX;179;SVP Black Star Promos;K100R1P0211;4.20;https://sklep839679.shoparena.pl/upload/images/2/img1578.jpg;common;;2025-09-05
Meowscarada ex;33;SVP Black Star Promos;K100R1P0212;4.20;https://sklep839679.shoparena.pl/upload/images/2/img1579.jpg;common;;2025-09-05
Toxtricity ex;100;Paradox Rift;K100R1P0213;3.98;https://sklep839679.shoparena.pl/upload/images/2/img1580.jpg;common;;2025-09-05
Hop's Zacian ex;193;SVP Black Star Promos;K100R1P0214;3.90;https://sklep839679.shoparena.pl/upload/images/2/img1581.jpg;common;;2025-09-05
Dragonite ex;159;Obsidian Flames;K100R1P0215;12.77;https://sklep839679.shoparena.pl/upload/images/2/img1582.jpg;common;;2025-09-05
